First,Last,congressman,affiliation
Sheldon,Whitehouse,Sheldon Whitehouse (Senator from Rhode Island),d
Edward,Whitfield,Edward Whitfield (Representative from Kentucky),r
Roger,Wicker,Roger Wicker (Senator from Mississippi),r
Roger,Williams,Roger Williams (Representative from Texas),r
Frederica,Wilson,Frederica Wilson (Representative from Florida),d
Joe,Wilson,Joe Wilson (Representative from South Carolina),r
Robert,Wittman,Robert Wittman (Representative from Virginia),r
Frank,Wolf,Frank Wolf (Representative from Virginia),r
Steve,Womack,Steve Womack (Representative from Arkansas),r
Rob,Woodall,Rob Woodall (Representative from Georgia),r
Ron,Wyden,Ron Wyden (Senator from Oregon),d
John,Yarmuth,John Yarmuth (Representative from Kentucky),d
Kevin,Yoder,Kevin Yoder (Representative from Kansas),r
Ted,Yoho,Ted Yoho (Representative from Florida),r
Todd,Young,Todd Young (Representative from Indiana),r
Don,Young,Don Young (Representative from Alaska),r
