First,Last,congressman,affiliation
Cory,Gardner,Cory Gardner (Representative from Colorado),r
Scott,Garrett,Scott Garrett (Representative from New Jersey),r
Bob,Gibbs,Bob Gibbs (Representative from Ohio),r
Chris,Gibson,Chris Gibson (Representative from New York),r
Kirsten,Gillibrand,Kirsten Gillibrand (Senator from New York),d
Louie,Gohmert,Louie Gohmert (Representative from Texas),r
Robert,Goodlatte,Robert Goodlatte (Representative from Virginia),r
Paul,Gosar,Paul Gosar (Representative from Arizona),r
Trey,Gowdy,Trey Gowdy (Representative from South Carolina),r
Lindsey,Graham,Lindsey Graham (Senator from South Carolina),r
Kay,Granger,Kay Granger (Representative from Texas),r
Charles,Grassley,Charles Grassley (Senator from Iowa),r
Tom,Graves,Tom Graves (Representative from Georgia),r
Sam,Graves,Sam Graves (Representative from Missouri),r
Alan,Grayson,Alan Grayson (Representative from Florida),d
Gene,Green,Gene Green (Representative from Texas),d
Al,Green,Al Green (Representative from Texas),d
Tim,Griffin,Tim Griffin (Representative from Arkansas),r
Morgan,Griffith,Morgan Griffith (Representative from Virginia),r
Raul,Grijalva,Raul Grijalva (Representative from Arizona),d
Mike,Grimm,Mike Grimm (Representative from New York),r
Brett,Guthrie,Brett Guthrie (Representative from Kentucky),r
Luis,Gutierrez,Luis Gutierrez (Representative from Illinois),d
Kay,Hagan,Kay Hagan (Senator from North Carolina),d
Janice,Hahn,Janice Hahn (Representative from California),d
Ralph,Hall,Ralph Hall (Representative from Texas),r
Colleen,Hanabusa,Colleen Hanabusa (Representative from Hawaii),d
Richard,Hanna,Richard Hanna (Representative from New York),r
Tom,Harkin,Tom Harkin (Senator from Iowa),d
Gregg,Harper,Gregg Harper (Representative from Mississippi),r
Andy,Harris,Andy Harris (Representative from Maryland),r
Vicky,Hartzler,Vicky Hartzler (Representative from Missouri),r
Doc,Hastings,Doc Hastings (Representative from Washington),r
Alcee,Hastings,Alcee Hastings (Representative from Florida),d
Orrin,Hatch,Orrin Hatch (Senator from Utah),r
Joe,Heck,Joe Heck (Representative from Nevada),r
Denny,Heck,Denny Heck (Representative from Washington),d
Martin,Heinrich,Martin Heinrich (Senator from New Mexico),d
Heidi,Heitkamp,Heidi Heitkamp (Senator from North Dakota),d
Dean,Heller,Dean Heller (Senator from Nevada),r
Jeb,Hensarling,Jeb Hensarling (Representative from Texas),r
Jaime,Herrera,Jaime Herrera Beutler (Representative from Washington),r
Brian,Higgins,Brian Higgins (Representative from New York),d
Jim,Himes,Jim Himes (Representative from Connecticut),d
Ruben,Hinojosa,Ruben Hinojosa (Representative from Texas),d
John,Hoeven,John Hoeven (Senator from North Dakota),r
George,Holding,George Holding (Representative from North Carolina),r
Rush,Holt,Rush Holt (Representative from New Jersey),d
Michael,Honda,Michael Honda (Representative from California),d
Steven,Horsford,Steven Horsford (Representative from Nevada),d
Steny,Hoyer,Steny Hoyer (Representative from Maryland),d
Richard,Hudson,Richard Hudson (Representative from North Carolina),r
Tim,Huelskamp,Tim Huelskamp (Representative from Kansas),r
Jared,Huffman,Jared Huffman (Representative from California),d
Bill,Huizenga,Bill Huizenga (Representative from Michigan),r
Randy,Hultgren,Randy Hultgren (Representative from Illinois),r
Duncan,Hunter,Duncan Hunter (Representative from California),r
Robert,Hurt,Robert Hurt (Representative from Virginia),r
James,Inhofe,James Inhofe (Senator from Oklahoma),r
Johnny,Isakson,Johnny Isakson (Senator from Georgia),r
Steve,Israel,Steve Israel (Representative from New York),d
Darrell,Issa,Darrell Issa (Representative from California),r
Sheila,Jackson-Lee,Sheila Jackson-Lee (Representative from Texas),d
Hakeem,Jeffries,Hakeem Jeffries (Representative from New York),d
Lynn,Jenkins,Lynn Jenkins (Representative from Kansas),r
Mike,Johanns,Mike Johanns (Senator from Nebraska),r
Bill,Johnson,Bill Johnson (Representative from Ohio),r
Eddie,Johnson,Eddie Johnson (Representative from Texas),d
Tim,Johnson,Tim Johnson (Senator from South Dakota),d
Ron,Johnson,Ron Johnson (Senator from Wisconsin),r
Hank,Johnson,Hank Johnson (Representative from Georgia),d
Sam,Johnson,Sam Johnson (Representative from Texas),r
Walter,Jones,Walter Jones (Representative from North Carolina),r
Jim,Jordan,Jim Jordan (Representative from Ohio),r
Dave,Joyce,Dave Joyce (Representative from Ohio),r
Tim,Kaine,Tim Kaine (Senator from Virginia),d
Marcy,Kaptur,Marcy Kaptur (Representative from Ohio),d
Bill,Keating,Bill Keating (Representative from Massachusetts),d
Robin,Kelly,Robin Kelly (Representative from Illinois),d
Mike,Kelly,Mike Kelly (Representative from Pennsylvania),r
Joseph,Kennedy,Joseph Kennedy III (Representative from Massachusetts),d
Dan,Kildee,Dan Kildee (Representative from Michigan),d
Derek,Kilmer,Derek Kilmer (Representative from Washington),d
Ron,Kind,Ron Kind (Representative from Wisconsin),d
Angus,King,Angus King (Senator from Maine),i
Peter,King,Peter King (Representative from New York),r
Steve,King,Steve King (Representative from Iowa),r
Jack,Kingston,Jack Kingston (Representative from Georgia),r
Adam,Kinzinger,Adam Kinzinger (Representative from Illinois),r
Mark,Kirk,Mark Kirk (Senator from Illinois),r
Ann,Kirkpatrick,Ann Kirkpatrick (Representative from Arizona),d
John,Kline,John Kline (Representative from Minnesota),r
Amy,Klobuchar,Amy Klobuchar (Senator from Minnesota),d
Ann,Kuster,Ann Kuster (Representative from New Hampshire),d
Raul,Labrador,Raul Labrador (Representative from Idaho),r
Doug,Lamborn,Doug Lamborn (Representative from Colorado),r
Leonard,Lance,Leonard Lance (Representative from New Jersey),r
Mary,Landrieu,Mary Landrieu (Senator from Louisiana),d
Jim,Langevin,Jim Langevin (Representative from Rhode Island),d
James,Lankford,James Lankford (Representative from Oklahoma),r
Rick,Larsen,Rick Larsen (Representative from Washington),d
John,Larson,John Larson (Representative from Connecticut),d
Tom,Latham,Tom Latham (Representative from Iowa),r
Robert,Latta,Robert Latta (Representative from Ohio),r
Frank,Lautenberg,Frank Lautenberg (Senator from New Jersey),d
Patrick,Leahy,Patrick Leahy (Senator from Vermont),d
Mike,Lee,Mike Lee (Senator from Utah),r
Barbara,Lee,Barbara Lee (Representative from California),d
Sander,Levin,Sander Levin (Representative from Michigan),d
Carl,Levin,Carl Levin (Senator from Michigan),d
John,Lewis,John Lewis (Representative from Georgia),d
Daniel,Lipinski,Daniel Lipinski (Representative from Illinois),d
Frank,LoBiondo,Frank LoBiondo (Representative from New Jersey),r
Dave,Loebsack,Dave Loebsack (Representative from Iowa),d
Zoe,Lofgren,Zoe Lofgren (Representative from California),d
Billy,Long,Billy Long (Representative from Missouri),r
Alan,Lowenthal,Alan Lowenthal (Representative from California),d
Nita,Lowey,Nita Lowey (Representative from New York),d
Michelle,Lujan,Michelle Lujan Grisham (Representative from New Mexico),d
Ben,Lujan,Ben Lujan (Representative from New Mexico),d
Cynthia,Lummis,Cynthia Lummis (Representative from Wyoming),r
Stephen,Lynch,Stephen Lynch (Representative from Massachusetts),d
Dan,Maffei,Dan Maffei (Representative from New York),d
Sean,Maloney,Sean Maloney (Representative from New York),d
Carolyn,Maloney,Carolyn Maloney (Representative from New York),d
Joe,Manchin,Joe Manchin III (Senator from West Virginia),d
Kenny,Marchant,Kenny Marchant (Representative from Texas),r
Tom,Marino,Tom Marino (Representative from Pennsylvania),r
Edward,Markey,Edward Markey (Senator from Massachusetts),d
Thomas,Massie,Thomas Massie (Representative from Kentucky),r
Jim,Matheson,Jim Matheson (Representative from Utah),d
Doris,Matsui,Doris Matsui (Representative from California),d
John,McCain,John McCain (Senator from Arizona),r
